sample_id,enriched_date,flat_date,date_diff_days,is_same_day,is_summary_anchor,confidence_score,top_candidates,evidence_summary,places_found_in_flat,persons_found_in_flat,organizations_found_in_flat,enriched_preview,flat_preview
11,1630-02-27,1630-02-27,0,True,True,10601,[],"date: same-day; places: 2/9 matched (Essen, Berg); persons: 0/4 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Essen', 'Berg']",[],[],"Noortwyck rapporteert conform de resolutie van HHM met Z.Exc.
 nader te hebben gesproken over het advies van de RvS van 22 feb.
 over de klachten van die van Essen
 over de door 
 het ingekwartierde voetvolk en de
 ruiterij
 aldaar gepleegde excessen. Het advies luidde dat de stad Essen
 van een dee",Ontfangen een missive vant' Collegie ter Admiraliteyt tot Amsterdam geschreven aldaer den 23e. deses houdende rescriptie op haer Ho:Mo: brieff vanden 9e. daer te vooren belangende t'exerceren vande judicature over seker fleuytschip met syne soutladinge byt' voors Collegie vry verclaert ende naderhan
12,1628-06-13,1628-06-12,1,False,False,952,[],"date: 1 day gap; places: 3/8 matched (Holtmeer, Zutphen, Leur); persons: 0/6 matched; orgs: 1/3 matched (2); anchor: no; top candidates: ","['Holtmeer', 'Zutphen', 'Leur']",[],['2'],"De binnengekomen Maximiliaen, vrijheer van Batenburch, en dr. Maerten
 Vermeer dienen een remonstrantie in.De
 remonstrantie is geïnsereerd in
 S.G. 3187. 
 Op last van de Staten en het Hof van Gelderland heeft de momber de remonstrant voor het Hof gedaagd met het doel hem zijn
 recht van appèl, het","President de heer Ploos, present de heeren Hungens, Martis den xiijen. Juny Feit, Noortwyck, 26. van Beveren, vander Dusse,

Gelesen synde de requeste van Capn. Godefriedt zur Muchlen versoeckende loopgelt voor syn onderhebbent volck daermede hy in dienste van haer ho:Mo: is aengenomen, Is tselue af"
13,1626-05-20,1626-05-19,1,False,False,551,[],"date: 1 day gap; places: 2/19 matched (Emden, Norden); persons: 0/3 matched; orgs: 0/1 matched; anchor: no; top candidates: ","['Emden', 'Norden']",[],[],"Met Z.Exc. en de RvS is, na gedaan
 verslag,
 gesproken over de zaak van Oost-Friesland. Met hun
 advies is het volgende besluitIngeschreven in
 S.G. 51 door een klerk. De resolutie is gedrukt:
 Aitzema, S. & O. kwarto II,
 52-56/folio I,
 511-512. genomen. 
 Aangezien de graaf van Oost-Friesland zi","Opt versouck van Francois Poor Engelsman, om te hebben een recompens voor d'ontdeckinge der frauden inde monsteringen by hem gedaen, Is geappointeert dat hy hem sal hebben t'addresseren aen den Raedt van State. Synde met Syn Extie. ende den Raedt van State, naer gedaene rapport, gedelibereert opte s"
14,1628-04-28,1628-04-28,0,True,True,10601,[],"date: same-day; places: 2/11 matched (Bourtange, Hasselt); persons: 0/1 matched; orgs: 0/3 matched; anchor: yes; top candidates: ","['Bourtange', 'Hasselt']",[],[],"De heren van de RvS overhandigen het advies van hen en Z.Exc. inzake de remonstrantie van Friesland en Groningen over het bouwen van
 enkele fortificaties. 
 I Leerort dient te blijven zoals het is. Het oude werk richting
 Leer moet echter worden gerepareerd opdat het niet
 door
 kanonschoten kan wo","Noch ontfangen een missiue vanden Agent Mibassen geen resolutie vereyschende.

Syn ter vergaderinge gecompareert de heeren Raden van State, ende Is op derselver aduis goetgevonden de Prouincien aen te schryuen, dat sy vande nieuwe lichtinge van theen duysent man, de compaignien op haer gerepartieert"
15,1629-08-18,1629-08-18,0,True,True,13102,[],"date: same-day; places: 10/25 matched (Amersfoort, Amerongen, Vianen, Arnhem, Wageningen); persons: 0/8 matched; orgs: 1/1 matched (7); anchor: yes; top candidates: ","['Amersfoort', 'Amerongen', 'Vianen', 'Arnhem', 'Wageningen', 'Buren', 'Vianen', 'Leerdam', 'Asperen', 'Nederbetuwe']",[],['7'],"Deze resolutie is door een klerk
 ingeschreven in S.G. 54 en gedeeltelijk afgedrukt in
 Aitzema, S. & O. kwarto II,
 856-857/folio I, 871. 
 Raadsheren Diderick van Bemmel en burggraaf Bernard van
 Welderen hebben uit kracht van
 hun
 geloofsbrieven van het Hof van
 Gelderland d.d. 6/16 augustus. HH",Synde gelesen de requeste van Symon Graffils uyt den lande van Rutsenborch sittende binnen Geertruytdenberch gevangen gesecundeert by missive van syn Excie. in dato 17e. deses om te mogen genieten t' beneficie vande wisselinge der gevangenen den 16e Juny lestleden gearresteert daerinne hy suppliant 
16,1627-07-23,1627-07-22,1,False,False,1151,[],"date: 1 day gap; places: 4/9 matched (Breda, Steenbergen, Bourtange, Bellingwolde); persons: 0/1 matched; orgs: 0/6 matched; anchor: no; top candidates: ","['Breda', 'Steenbergen', 'Bourtange', 'Bellingwolde']",[],[],"De RvS verschijnt ter vergadering wegens diverse punten. 
 I De burgers van Breda klagen ernstig over de trage teruggave van
 door hen tijdens de belegering van de
 stad aan compagnieën geleend geld. 
 HHM schrijven de nalatige provincies Gelderland, Zeeland en Friesland
 ernstig de supplianten te b","Alsoo de pachters van een vierde part der convoien en Licenten by verscheidene remonstrantien versocht hebben mede te mogen teickenen de binnenlantsche paspoorten, ende datte heeren van hollant t‛elckens verclaert hebben t'selve te moeten brengen aende Vergaderinge der heeren Staten derselver provin"
17,1629-02-21,1629-02-21,0,True,True,10601,[],"date: same-day; places: 2/8 matched (Tunis, Palermo); persons: 0/0 matched; orgs: 0/6 matched; anchor: yes; top candidates: ","['Tunis', 'Palermo']",[],[],"De gedeputeerden van Holland delen mee dat er bij de Staten van
 Holland, momenteel ter dagvaart, door
 echtgenotes,
 kinderen, ouders en vrienden zeer sterk wordt aangedrongen op de 
 vrijlating van de Nederlandse gevangenen in
 Tunis en Algiers, de 115
 matrozen
 tegen wie in Palermo op Sicilië
 e","De heeren van Hollant hebben geproponeert dat de heeren Staten haere principale jegenwoordich ter dachvaert vergadert synde seer hart aengelopen worden, vande huisvrouwen ende kinderen ouders ende vrunden respective van d'ingesetenen deser landen tot Thunis ende Algier gevangen sittende als oock med"
18,1626-12-05,1626-12-04,1,False,False,352,[],date: 1 day gap; places: 1/16 matched (Dalen); persons: 0/1 matched; orgs: 1/3 matched (26); anchor: no; top candidates: ,['Dalen'],[],['26'],"Aangevoerd wordt dat Z.Exc. naar aanleiding van de eergisteren ontvangen brief van de Gedeputeerde Staten van Groningen voorstelt van de 43 in Friesland en Groningen gelegerde compagnieën soldaten
 er vijftien bij Dalen onder te brengen. Die kunnen
 dan
 tezamen met de vijftien ruitercompagnieën uit","Opt versouck van Jan van Dalen Griffier van Chrychsraet, Is om redenen daerinne verhaelt hem voor dit lopende Jaer 1626. toegeleit de somme van vyftich guldens eens.

Is David Lommelin gepresenteert hebbende een boexken toegeleit vyfthien guldens. Synde byde heeren gisteren gecommitteert totte confe"
19,1628-07-07,1628-07-07,0,True,True,10601,[],"date: same-day; places: 2/12 matched (Texel, Noorwegen); persons: 0/3 matched; orgs: 0/4 matched; anchor: yes; top candidates: ","['Texel', 'Noorwegen']",[],[],"HHM hervatten het gisteren gedane rapport van de aanwezige afgevaardigden van de Admiraliteitscolleges inzake het door de Fransen veroveren van op Engeland handelende Nederlandse schepen en het schoonmaken en
 bevoorraden van de tot bescherming van Het Kanaal
 ingezette schepen. 
 Aangaande het eers","omme te revictualieren, niet langer aen lant blyvende als den tyt van acht off ten lancksten thien dagen, ende alsdan sich weder sal laten vinden op haere gedestineerde plaets ende vaerwater (ter ware sulcx by storm, onweder, ende harde contrarie winden off andersints wierde beleth) staende t'selue "
20,1627-01-06,1627-01-06,0,True,False,10301,[],date: same-day; places: 1/26 matched (Bolspolder); persons: 0/2 matched; orgs: 0/1 matched; anchor: no; top candidates: ,['Bolspolder'],[],[],"HHM lezen het advies van de RvS d.d. 3 dec. 1626 over de door de Infanta d.d. 28 juli 1626 te Brussel aangevulde artikelen in de
 commissie voor Jean Pleuren. 
 De RvS zal hetgeen
 door
 HHM conform het advies op elk van de punten is
 besloten ten uitvoer brengen. De in het Frans gestelde akte is me","Synde gelesen een placcaet vanden Coninck van hispaignen den Sur le iije. Idem.

deselve te doen verpachten sullen werden gelast

Byaldien van s‛vyants van deser syde gelycke seulement lxvij L xiijs par mois, sur les mots y enserrez, scavoir avec ses appendances e comprenant les Poldres nommez Nassa"
21,1628-01-25,1628-01-25,0,True,True,12701,[],"date: same-day; places: 9/30 matched (Venlo, Roermond, Rees, Breda, Altena); persons: 0/1 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Venlo', 'Roermond', 'Rees', 'Breda', 'Altena', 'Heusden', 'Brabant', 'Zutphen', 'Somme']",[],[],"Essen en andere gecommitteerden hebben gesproken over
 verhoging van de inkomsten uit de
 konvooien en licenten. Zij overhandigen 
 een memorieDe memorie is geïnsereerd In
 S.G. 3187 en gedrukt in: Aitzema, S.
 & O. kwarto II, 620-626/folio I,
 773-775.van maatregelen die uitgevoerd
 zouden kunnen w","Alsoo door het versuym van het suyveren der binnen Lantsche pasporten, merckelycke frauden worden gepleecht, daer door het gemeene Lant soo grooten schade heeft geleden, ende noch Is lydende, ten regarde die vyant, bysonder de Licenten geslooten synde, daer door middel wort gegeuen om alles te becom"
22,1629-01-27,1629-01-27,0,True,True,10201,[],"date: same-day; places: 0/0 matched; persons: 0/3 matched; orgs: 2/14 matched (2, 29); anchor: yes; top candidates: ",[],[],"['2', '29']","Deze resolutie is door een klerk
 ingeschreven in S.G. 54. Deze resolutie is in enigszins gewijzigde
 versie ook gedrukt: Aitzema, S. & O.
 kwarto II, 701-705/folio I, 809-811. 
 Essen en de andere gedeputeerden rapporteren over hun besogne rond
 de staat van oorlog op zee voor het jaar 1629. Ze heb","Ontfangen een missive van haer Ho:Mo: gesanten in Vranryck geschreven tot Paris den xiijen. deses Waerop egeen resolutie is gevallen. Synde byde heeren Essen ende andere haer Ho:Mo: Gedepden gerapporteert, hoe dat sy gebesoigeert hadden opden staedt van oorloge te water voor het jaer 1629. ende dien"
23,1629-11-21,1629-11-21,0,True,True,10601,[],"date: same-day; places: 2/5 matched (Utrecht, Veluwe); persons: 0/7 matched; orgs: 0/6 matched; anchor: yes; top candidates: ","['Utrecht', 'Veluwe']",[],[],"Gehoord is het verslag van Essen en de andere afgevaardigden van HHM die in navolging van de
 resolutie van gisteren gesproken hebben met Z.Exc. over de
 inkwartiering van de regimenten van de oversten
 Morgan, Holck,
 Ferents en
 Rosecrantz,
 alsmede
 van 24 vrije compagnieën infanterie in het Land","Ontfangen een missiue van Burgermrn Recht ende Raden der Stadt Harlingen gescreuen aldaer den 8. deses waer by sy ouersenden de namen van drie personen in Turckien gevangen sittende. Waerop gedelibereert synde, Is goetgevonden en verstaen dat deselue persoonen gestelt sullen worden opde lyste om aen"
24,1628-02-03,1628-02-03,0,True,True,11201,[],"date: same-day; places: 4/13 matched (Emden, Norden, Eems, Jade); persons: 0/2 matched; orgs: 0/3 matched; anchor: yes; top candidates: ","['Emden', 'Norden', 'Eems', 'Jade']",[],[],"De RvS adviseert d.d. 1 feb. op de op 27, 29 en 31 jan. ontvangen brieven van Ernst Casimir en de gedeputeerden in Emden. 
 HHM besluiten op het eerste punt van de zes vragen van de stad Emden conform het advies en eerder genomen resoluties, met name die van 22 januari. De toevoer naar Oost-Frieslan","Is gelesen het aduis des Raedts van State geformeert den 1en. deses opte respectiue missiven soo vanden heere Stadtholder Graeff Ernst Casimir van Nassauw s. als vande heeren haer Ho:Mo: gedeputeerden tot Embden den 27e 29. ende 31e. January lestleden ontfangen, ende naer deliberatie daerop gehouden"
25,1627-10-18,1627-10-18,0,True,True,10901,[],"date: same-day; places: 3/5 matched (Oostende, Vlissingen, Texel); persons: 0/8 matched; orgs: 0/6 matched; anchor: yes; top candidates: ","['Oostende', 'Vlissingen', 'Texel']",[],[],"In aanwezigheid van Z.Exc., Ernst Casimir en de
 RvS zijn luitenant-admiraal
 Dorp,
 teruggekeerd
 van de kust van Vlaanderen, en
 Gans
 gehoord. Dorp 
 rapporteert dat langs de kust niet meer dan zestien schepen en drie
 jachten liggen, en dat te Duinkerke 26 en
 te
 Oostende acht schepen klaarligg","Heeren Grave, Rantwijck, Renssen, Hendrick van Eck, Diderick van Eck, Feith, Noortwijck,

Schaffer, Broersema, Syn Extie. ende Syn Gen: Graeff Ernst Casimir van Nassau ter Vergaderinge comparerende, Is in derselver presentie gehoort den Lieutenant Admirael Dorp comen vande custe van Vlaenderen, als "
26,1626-03-31,1626-03-31,0,True,True,10901,[],"date: same-day; places: 3/8 matched (Arnhem, Rees, Goch); persons: 0/0 matched; orgs: 0/0 matched; anchor: yes; top candidates: ","['Arnhem', 'Rees', 'Goch']",[],[],"Schippers uit Nijmegen, Tiel, Arnhem en
 Culemborg met hun schepen in Rees
 verzoeken hun bederfelijke vis en waren in kleine hoeveelheden en
 tegen
 attestatie naar neutrale plaatsen te mogen brengen. Aangezien
 onlangs
 nog op paspoort een partij goederen van Emmerik
 naar
 Kleef en Goch is vervoe","Is gelesen de reqte. van verscheidene schippers van Nimmegen, Thiel, Arnhem, ende Culenborch, tegenwoordich met haere schepen tot Rees liggende, Versouckende dat sy haere verderfflycke visch ende waeren met cleine quantiteit mogen brengen op Neutrale plaetzen, mits brengende attestatie deselve aldae"
27,1629-05-26,1629-05-26,0,True,True,10901,[],"date: same-day; places: 3/12 matched (Valence, Languedoc, Amsterdam); persons: 0/6 matched; orgs: 0/1 matched; anchor: yes; top candidates: ","['Valence', 'Languedoc', 'Amsterdam']",[],[],"Ambassadeur De Beaugij deelt de vergadering mee dat hij van zijn meester, de
 koning van Frankrijk, brieven
 heeft ontvangen
 d.d.
 Susa 26 april. Nadat hij Casale ontzet heeft, is
 de
 koning er nu ook in geslaagd Gonsales te
 verdrijven uit alle plaatsen die deze in
 Monferrato
 bezet hield. Verde","Het versouck van Johannes Angelius Werdenhagen om met de somme van ses duysent vier hondert eenen vyftich gul tien stuivers opde lyste vande crediteuren van heer Administrator gestelt te worden als de selve somme aen syn L. ten achteren synde. Is nae voorgaende deliberatie affgeslagen, Adamus Strigl"
28,1630-03-08,1630-03-08,0,True,True,10702,[],"date: same-day; places: 1/5 matched (Utrecht); persons: 0/2 matched; orgs: 4/6 matched (2, 75, 5, 55); anchor: yes; top candidates: ",['Utrecht'],[],"['2', '75', '5', '55']","Eck, gecommitteerde raad ter Admiraliteit
 te
 Rotterdam, verschijnt ter vergadering namens de
 provincie Utrecht. Hij rapporteert HHM 
 zich met zijn College conform de resolutie van HHM d.d. 30
 jan. te hebben vervoegd in Utrecht om aldaar
 18.255 pond te ontvangen, als rest van 39.660 pond die de","Ontfangen noch een missive van de selve geschreven ende in dato als vooren, houdende responsive op haer Ho:Mo: brieff van den 7. february lestleden, belangende den vrydom van Tollen ende licenten den 26. November mede lestleden aen de Stadt Wesel geconsenteert, van dat sy rescribenten aen d'officier"
29,1627-03-06,1627-03-05,1,False,False,551,[],"date: 1 day gap; places: 2/10 matched (Utrecht, Heusden); persons: 0/6 matched; orgs: 0/1 matched; anchor: no; top candidates: ","['Utrecht', 'Heusden']",[],[],"De raden van State
 De Rover, Stavenisse,
 Veltriel
 en Gruijs verschijnen ter
 vergadering. Zij verklaren dat de fortificaties tegen minder geld
 kunnen worden aanbesteed als de aannemers contant geld 
 gegeven wordt. Zij vragen of een dergelijke belofte mag worden
 gedaan. 
 HHM besluiten de beste","Synde geproponeert dat eenige borgers ende borgers Vrouwen tot Breda fixe domicilium houdende met namen lyn knepen met haere kinderen, May Stoffels met haere kinderen, Anthoni den schipper met syn Vrouw, Jasper den kremer met syn Vrouw,

Neel boenders, Maiken Gorissen met haer suster, Ien de decke e"
30,1626-06-11,1626-06-12,1,False,False,251,[],date: 1 day gap; places: 1/4 matched (Somme); persons: 0/0 matched; orgs: 0/3 matched; anchor: no; top candidates: ,['Somme'],[],[],"De Zeeuwse Admiraliteit schrijft 8 juni dat in strijd met de resolutie d.d. 18 okt. 1625 in Holland, zowel door Rotterdam als
 door
 Amsterdam, wordt toegestaan dat 
 Haarlems
 linnen
 tegen
 de oude rechten van 12 st. per stuk wordt uitgevoerd naar
 Calais. 
 Ook wordt in Holland van anderhalve sma","Ter Cuilen, Schaffer, Broethema, Opt versouck van Sackville Crouw dienaer van hertoch van Buckingam, Is geaccordeert dat hy vry sonder te betalen Convoy off licent, sal mogen naer Engelant voeren Seven coffers met clederen, vier koffers voor Syne Mat. twee houte cassen met Ebben Cabinetten, vyff cas"
31,1626-07-17,1626-07-16,1,False,False,551,[],"date: 1 day gap; places: 2/16 matched (Nederbetuwe, Voorn); persons: 0/0 matched; orgs: 0/0 matched; anchor: no; top candidates: ","['Nederbetuwe', 'Voorn']",[],[],"De gecommitteerden tot de beveiliging van de Waal en de Maas en Z.Exc. zijn van mening dat de
 Overbetuwe, de Nederbetuwe en de
 Tielerwaard langs de Waaldijk dit jaar met troepen
 bezet moeten worden. Van Nijmegen tot
 Gorinchem zouden op de
 belangrijkste
 plekken zo zuinig mogelijk nieuwe redoute","Synde byde heeren van Utrecht mede voorgestelt de hervattinge vande besoignes van Isselstroom, is goet gevonden daermede te supersederen tot den volgenden dach,

Synde geresumeert het point van negotiatie der tweehondert duysent gul tot betalinge vant Regiment van Candale ende derthien Compen. Ruyte"
32,1627-08-09,1627-08-09,0,True,False,10101,[],date: same-day; places: 0/3 matched; persons: 0/7 matched; orgs: 1/5 matched (7); anchor: no; top candidates: ,[],[],['7'],"Essen, Haersolte en
 Schaffer
 berichten d.d. Zutphen 6 aug. welke proviand zij naar
 het
 leger hebben gestuurd. Zij menen dat het hieraan niet zal
 ontbreken,
 maar wel aan geld. 
 De RvS is ter vergadering ontboden om de gisteren afgebroken beraadslaging hierover te hervatten. De heren van Hollan","President de Heer Broersema, Present de Mercurij den xjen. Augusti 1627.

Synde gecommuniceert eenige brieven van advis vanden Viant te Santvliet ende van de besichtinge die hy gedaen heeft tusschen het eerste ende tweede blaugareuse gat aende cant vande riviere, By die van Zeelant overgesonden met "
33,1627-06-03,1627-06-03,0,True,True,12101,[],"date: same-day; places: 7/21 matched (Walcheren, Texel, Het Vlie, Noorwegen, Bocht); persons: 0/3 matched; orgs: 0/4 matched; anchor: yes; top candidates: ","['Walcheren', 'Texel', 'Het Vlie', 'Noorwegen', 'Bocht', 'Seine', 'Oostende']",[],[],"De resolutie is door een klerk ingeschreven in S.G. 52.Z.Exc. verschijnt ter vergadering met de aanwezige
 gedeputeerden van de Admiraliteiten te Rotterdam, Amsterdam en in het
 Noorderkwartier. De bespreking
 van het
 ontwerp voor het kruisen op zee met het oog op een betere
 zeebewaking - door de ","Is geresumeert de provisionele ordre, die opt cruyren vande zee byde selve Gedeputeerden ende die van Zeelant naerder is beraemt geworden tot beter beveilinge vande zee, ende synde daerop gedelibereert, Is eyntlyck genomen de resolutie hiernaer volgende geinsereert.

De Staten Generael der Vereenich"
